#
# SPDX-FileCopyrightText: 2023-2025 Luca Bonissi <wallbox@bonissi.it>
#
# SPDX-License-Identifier: CC0-1.0

YEARMM	PF1	PF2	PF3	GF1	GF2	GF3	CUS
202311	0.1470	0.1349	0.1108	0.2759	0.2466	0.2466	0.04694
202312	0.1387	0.1249	0.1108	0.2759	0.2466	0.2466	0.04694
202401	0.1154	0.1105	0.0937	0.2262	0.2262	0.2262	0.06420
202402	0.1011	0.0999	0.0808	0.2123	0.2123	0.2123	0.06420
202403	0.0999	0.0995	0.0855	0.2138	0.2138	0.2138	0.06420
202404	0.0900	0.1066	0.0847	0.1965	0.1965	0.1965	0.06420
202405	0.0996	0.1173	0.0907	0.2129	0.2129	0.2129	0.06420
202406	0.1092	0.1222	0.1004	0.2213	0.2213	0.2213	0.06420
202407	0.1143	0.1374	0.1102	0.2417	0.2417	0.2417	0.06420
202408	0.1280	0.1556	0.1285	0.2643	0.2643	0.2643	0.06420
202409	0.1287	0.1386	0.1111	0.2455	0.2455	0.2455	0.06420
202410	0.1302	0.1332	0.1107	0.2497	0.2497	0.2497	0.06420
202411	0.1532	0.1445	0.1232	0.2705	0.2705	0.2705	0.06420
202412	0.1667	0.1532	0.1218	0.2755	0.2755	0.2755	0.06420
202501	0.1666	0.1595	0.1352	0.2859	0.2859	0.2859	0.06486
202502	0.1658	0.1672	0.1472	0.2948	0.2948	0.2948	0.06486
202503	0.1280	0.1419	0.1175	0.2531	0.2531	0.2531	0.06486
202504	0.1008	0.1211	0.1000	0.2165	0.2165	0.2165	0.06486
202505	0.0937	0.1164	0.0916	0.2030	0.2030	0.2030	0.06486
202506	0.1189	0.1189	0.1334	0.2331	0.2331	0.2331	0.06486
202507	0.1146	0.1337	0.1141	0.2455	0.2455	0.2455	0.06486
202508	0.1111	0.1241	0.1115	0.2420	0.2420	0.2420	0.06486
202509	0.1153	0.1272	0.1072	0.2349	0.2349	0.2349	0.06486
202510	0.1240	0.1280	0.1047	0.2154	0.2154	0.2071	0.06486
